id,text,intent
88,Hôm qua mình tiêu hết bao nhiêu?,query_expense
89,Cho tôi xem tổng tiền đã chi tháng này,query_expense
90,Chi tiêu tuần này của tôi là bao nhiêu?,query_expense
91,Tiền ăn tháng này hết bao nhiêu rồi?,query_category
92,Tháng này tôi tốn bao nhiêu tiền đi lại?,query_category
93,Tôi đã tiêu bao nhiêu cho mua sắm?,query_category
94,Tiền điện tháng này bao nhiêu?,query_category
95,Tháng này tiền thuê nhà hết bao nhiêu?,query_category
96,Tôi đã chi bao nhiêu cho giải trí?,query_category
97,Tiền thuốc men tháng này hết bao nhiêu?,query_category
98,Khoản ăn uống tuần này hết bao nhiêu?,query_category
99,Tháng này tôi tiêu bao nhiêu cho giáo dục?,query_category
100,Khoản chi nào đang lớn nhất tháng này?,query_category
101,Đặt ngân sách ăn uống tháng này 2 triệu nhé,set_budget
102,Cho tiền mua sắm tối đa 3 triệu một tháng,set_budget
103,Giới hạn chi tiêu giải trí là 1 triệu nhé,set_budget
104,Tôi muốn ngân sách đi lại tháng này là 800k,set_budget
105,Đặt mức 500 nghìn cho tiền điện,set_budget
106,Tháng này không được tiêu quá 2 triệu tiền ăn,set_budget
107,Cho tôi giới hạn mua sắm 5 củ mỗi tháng,set_budget
108,Đặt ngân sách thuê nhà 7 triệu,set_budget
109,Tôi muốn giới hạn tiền giải trí ở mức 700 nghìn,set_budget
110,Ngân sách cho việc đi lại mỗi tháng là 1 triệu,set_budget
111,Tôi muốn tiết kiệm 50 triệu trong 12 tháng,saving_goal
112,Cần để dành 10 triệu trong 5 tháng,saving_goal
113,Mình muốn có 100 triệu sau 2 năm,saving_goal
114,Tôi cần tiết kiệm 20 triệu để mua laptop trong 6 tháng,saving_goal
115,Mục tiêu của tôi là dành dụm 30 triệu trong 1 năm,saving_goal
116,Làm sao để đủ 15 triệu tiền tiết kiệm sau 6 tháng?,saving_goal
117,Mỗi tháng tôi cần để dành bao nhiêu để có 60 triệu sau 1 năm?,saving_goal
118,Tôi muốn tích được 5 triệu trong 3 tháng,saving_goal
119,Cần tiết kiệm bao nhiêu mỗi tháng để đạt 40 triệu trong 8 tháng?,saving_goal
120,Mình đặt mục tiêu tiết kiệm 25 triệu trong 10 tháng,saving_goal
121,Làm sao để quản lý tiền bạc tốt hơn?,financial_advice
122,Có cách nào tiết kiệm tiền hiệu quả không?,financial_advice
123,Quỹ khẩn cấp là gì?,financial_advice
124,Tôi nên chia thu nhập hàng tháng như thế nào?,financial_advice
125,Làm thế nào để kiểm soát chi tiêu?,financial_advice
126,Nay ăn bún 40k,add_expense
127,Sáng làm tô phở 55 nghìn,add_expense
128,Uống trà sữa hết 35k,add_expense
129,Mới mua quần áo 600k,add_expense
130,Đi xe ôm hết 50 nghìn,add_expense
131,Mua vé xem phim 120k,add_expense
132,Vừa đóng tiền điện 450k,add_expense
133,Mua thuốc ở hiệu thuốc 85 nghìn,add_expense
134,Tiền nhà tháng này 6 triệu,add_expense
135,Mua vở với bút hết 150k,add_expense
136,Ăn tối 120k nha,add_expense
137,Grab hôm nay 65k,add_expense
138,Cafe sáng 30 nghìn,add_expense
139,Mua đồ Shopee 250k,add_expense
140,Đổ xăng 100k,add_expense
141,Đi siêu thị hết 800 nghìn,add_expense
142,Vừa trả hóa đơn mạng 220k,add_expense
143,Mua thuốc 2 trăm nghìn,add_expense
144,Ăn uống hôm nay hết 90k,add_expense
145,Mới mua balo 400 nghìn,add_expense
146,Chi 70k tiền ăn trưa,add_expense
147,Mua vé tàu hết 300k,add_expense
148,Tối nay nhậu hết 500 nghìn,add_expense
149,Đóng học phí 3 triệu,add_expense
150,Mua quà sinh nhật hết 350k,add_expense
151,Lương tháng này về 14 triệu,add_income
152,Vừa lãnh lương 10 củ,add_income
153,Công ty chuyển 20 triệu tiền lương,add_income
154,Mới nhận thưởng 3 triệu,add_income
155,Được bố mẹ gửi 2 triệu,add_income
156,Freelance vừa về 5 củ,add_income
157,Vừa nhận tiền công 800k,add_income
158,Khách chuyển khoản 1 triệu,add_income
159,Tiền bán hàng vừa về 4 triệu,add_income
160,Được hoàn tiền 150 nghìn,add_income
161,Tháng này nhận lương 16 củ,add_income
162,Vừa được thưởng 1 triệu rưỡi,add_income
163,Anh mình chuyển 500k,add_income
164,Nhận tiền dự án 8 triệu,add_income
165,Có thêm 2 triệu tiền làm thêm,add_income
166,Lương đã vào tài khoản rồi,add_income
167,Vừa thu được khoản nợ 3 triệu,add_income
168,Bán cái bàn được 700k,add_income
169,Khách vừa thanh toán 2 củ,add_income
170,Mẹ gửi tiền sinh hoạt 1 triệu,add_income
171,Giờ tài khoản còn bao nhiêu?,query_balance
172,Số dư hiện tại của tôi là bao nhiêu?,query_balance
173,Ví còn tiền không?,query_balance
174,Mình còn dư được bao nhiêu?,query_balance
175,Kiểm tra số dư giúp tôi,query_balance
176,Tài khoản còn lại bao nhiêu vậy?,query_balance
177,Hiện giờ tôi còn bao nhiêu tiền?,query_balance
178,Trong ví còn bao nhiêu?,query_balance
179,Số tiền còn lại của mình là bao nhiêu?,query_balance
180,Cho biết tôi đang còn bao nhiêu tiền,query_balance
181,Tháng này tổng cộng mình đã chi bao nhiêu?,query_expense
182,Đến giờ tiêu hết bao nhiêu tiền rồi?,query_expense
183,Tuần vừa rồi tôi đã tiêu bao nhiêu?,query_expense
184,Hôm nay tổng chi của mình là bao nhiêu?,query_expense
185,Tháng trước tôi tiêu tổng bao nhiêu?,query_expense
186,Trong tháng này đã chi bao nhiêu rồi?,query_expense
187,7 ngày qua mình tiêu hết bao nhiêu?,query_expense
188,Từ đầu năm tới giờ đã tiêu bao nhiêu?,query_expense
189,Hôm qua tổng chi là bao nhiêu?,query_expense
190,Cho tôi biết tổng tiền đã tiêu tuần này,query_expense
191,Tiền ăn tháng này bao nhiêu?,query_category
192,Tháng này đi lại hết bao nhiêu tiền?,query_category
193,Mình tiêu bao nhiêu tiền cho quần áo?,query_category
194,Tiền giải trí tháng này là bao nhiêu?,query_category
195,Đã chi bao nhiêu cho tiền điện nước?,query_category
196,Khoản mua sắm hết bao nhiêu rồi?,query_category
197,Tháng này tiền thuốc bao nhiêu?,query_category
198,Tiền thuê nhà tháng này hết bao nhiêu?,query_category
199,Tôi đã tốn bao nhiêu cho học hành?,query_category
200,Khoản nào tôi chi nhiều nhất?,query_category
201,Đặt hạn mức ăn uống 2 triệu tháng này,set_budget
202,Tiền xăng mỗi tháng tối đa 1 triệu,set_budget
203,Cho tôi ngân sách mua sắm 4 triệu,set_budget
204,Giới hạn giải trí tháng này 800k nhé,set_budget
205,Đừng để tôi tiêu quá 3 triệu tiền ăn,set_budget
206,Ngân sách tiền điện đặt 600 nghìn,set_budget
207,Tôi muốn giới hạn đi lại ở mức 1 triệu,set_budget
208,Đặt budget mua sắm tháng này 2 củ,set_budget
209,Tiền thuê nhà giới hạn 7 triệu,set_budget
210,Cho giải trí tối đa 500 nghìn mỗi tháng,set_budget
211,Tôi muốn tiết kiệm 30 triệu trong 6 tháng,saving_goal
212,Để dành 12 triệu trong 1 năm,saving_goal
213,Mục tiêu là có 50 triệu sau 10 tháng,saving_goal
214,Cần tiết kiệm 100 triệu trong 2 năm,saving_goal
215,Tôi muốn dành dụm 15 triệu trong 5 tháng,saving_goal
216,Mỗi tháng cần tiết kiệm bao nhiêu để đủ 24 triệu sau 6 tháng?,saving_goal
217,Mình muốn có 10 triệu tiền tiết kiệm sau 4 tháng,saving_goal
218,Cần để dành 5 triệu trong 3 tháng,saving_goal
219,Tôi muốn tích lũy 80 triệu trong 2 năm,saving_goal
220,Làm sao để dành được 20 triệu trong 8 tháng?,saving_goal
221,Nên quản lý chi tiêu cá nhân như thế nào?,financial_advice
222,Làm sao để tiết kiệm được nhiều tiền hơn?,financial_advice
223,Có nên lập quỹ khẩn cấp không?,financial_advice
224,Làm thế nào để lập ngân sách cá nhân?,financial_advice
225,Cách kiểm soát việc mua sắm quá tay là gì?,financial_advice
226,Chiều nay mua trà sữa 40k,add_expense
227,Vừa ăn cơm văn phòng hết 75 nghìn,add_expense
228,Mới gọi đồ ăn hết 120k,add_expense
229,Sáng nay đi bus mất 15k,add_expense
230,Mua mỹ phẩm hết 450 nghìn,add_expense
231,Tối qua đi karaoke hết 600k,add_expense
232,Vừa thanh toán tiền nước 180k,add_expense
233,Mua thuốc cho mẹ hết 320 nghìn,add_expense
234,Đóng tiền phòng 4 triệu rồi,add_expense
235,Mua khóa học online hết 900k,add_expense
236,Ăn sáng với bạn hết 80k,add_expense
237,Đi GrabBike hết 35 nghìn,add_expense
238,Mua quần jean 550k,add_expense
239,Vừa nạp tiền điện thoại 100k,add_expense
240,Đi siêu thị mua đồ hết 650 nghìn,add_expense
241,Mới trả tiền wifi 250k,add_expense
242,Mua quyển sách này 180 nghìn,add_expense
243,Hôm qua đi ăn hết gần 300k,add_expense
244,Mua vé concert hết 1 triệu 2,add_expense
245,Đổ xăng hết một trăm nghìn,add_expense
246,Hôm nay công ty trả lương 13 triệu,add_income
247,Vừa nhận 2 củ tiền thưởng,add_income
248,Mẹ chuyển khoản cho mình 1 triệu,add_income
249,Khách thanh toán đơn hàng 3 triệu,add_income
250,Mới nhận tiền freelance 2 củ rưỡi,add_income
251,Được thưởng hiệu suất 5 triệu,add_income
252,Vừa bán chiếc máy ảnh được 7 triệu,add_income
253,Tiền lương vừa ting ting 15 triệu,add_income
254,Anh trai gửi mình 300 nghìn,add_income
255,Nhận tiền làm thêm 1 triệu 2,add_income
256,Vừa được hoàn lại 500k,add_income
257,Công ty chuyển khoản tiền lương rồi,add_income
258,Khách vừa trả nợ 2 triệu,add_income
259,Bán đồ cũ thu về 800 nghìn,add_income
260,Được bố mẹ cho 3 triệu,add_income
261,Vừa nhận tiền dự án 12 triệu,add_income
262,Có thêm 700k tiền thưởng,add_income
263,Tiền công tháng này được 4 triệu,add_income
264,Người ta vừa chuyển cho mình 2 củ,add_income
265,Lương tháng này về 17 triệu,add_income
266,Hiện tại số dư tài khoản của mình là bao nhiêu?,query_balance
267,Mình còn bao nhiêu tiền để tiêu?,query_balance
268,Kiểm tra giúp số dư hiện tại,query_balance
269,Tài khoản ngân hàng giờ còn bao nhiêu?,query_balance
270,Còn bao nhiêu tiền trong ví vậy?,query_balance
271,Sau khi trừ các khoản thì mình còn bao nhiêu?,query_balance
272,Cho mình biết số dư hiện tại nhé,query_balance
273,Tôi còn dư được bao nhiêu trong tài khoản?,query_balance
274,Giờ trong tài khoản còn lại bao nhiêu?,query_balance
275,Mình đang có bao nhiêu tiền?,query_balance
276,Tổng chi tiêu tháng này của mình là bao nhiêu?,query_expense
277,Từ đầu tháng đến nay đã tiêu tổng cộng bao nhiêu?,query_expense
278,Hôm nay mình đã chi tổng bao nhiêu tiền?,query_expense
279,Tuần này tổng chi là bao nhiêu?,query_expense
280,Tháng trước mình đã tiêu hết bao nhiêu?,query_expense
281,Trong 30 ngày qua tôi đã chi bao nhiêu?,query_expense
282,Từ đầu năm đến giờ tổng chi bao nhiêu?,query_expense
283,Hôm qua tôi đã tiêu tổng cộng bao nhiêu?,query_expense
284,Cho mình biết tổng số tiền đã chi trong tuần này,query_expense
285,Tháng này tôi đã tiêu tổng cộng bao nhiêu rồi?,query_expense
286,Tháng này tiền ăn uống của mình hết bao nhiêu?,query_category
287,Tôi đã chi bao nhiêu cho xăng xe?,query_category
288,Mua sắm tháng này tốn bao nhiêu?,query_category
289,Tiền điện tháng này hết bao nhiêu?,query_category
290,Tiền thuê phòng tháng này là bao nhiêu?,query_category
291,Tôi đã tốn bao nhiêu cho các hoạt động vui chơi?,query_category
292,Chi phí thuốc men tháng này bao nhiêu?,query_category
293,Học tập tháng này hết bao nhiêu tiền?,query_category
294,Tôi tiêu bao nhiêu tiền cho việc đi lại?,query_category
295,Khoản chi nào chiếm nhiều tiền nhất?,query_category
296,Đặt ngân sách ăn uống 2 triệu mỗi tháng cho tôi,set_budget
297,Từ giờ tiền mua sắm không được vượt 3 triệu,set_budget
298,Giới hạn chi tiêu đi lại tháng này là 700k,set_budget
299,Cho giải trí ngân sách 1 triệu một tháng,set_budget
300,Tiền điện mỗi tháng giới hạn 800 nghìn nhé,set_budget
301,Tôi muốn đặt mức tối đa 2 triệu cho ăn uống,set_budget
302,Đặt budget tiền nhà tháng này là 6 triệu,set_budget
303,Không cho tôi tiêu quá 1 triệu vào việc mua sắm,set_budget
304,Ngân sách đi lại mỗi tháng để 1 triệu,set_budget
305,Giới hạn tiền giải trí ở mức 500k,set_budget
306,Mục tiêu của tôi là tiết kiệm 20 triệu trong 4 tháng,saving_goal
307,Tôi muốn có 30 triệu tiền tiết kiệm sau 6 tháng,saving_goal
308,Cần để dành 60 triệu trong vòng 1 năm,saving_goal
309,Mình muốn tích lũy 15 triệu trong 5 tháng,saving_goal
310,Tôi cần tiết kiệm 40 triệu để mua xe trong 10 tháng,saving_goal
311,Làm sao để dành được 12 triệu trong 6 tháng?,saving_goal
312,Mỗi tháng phải tiết kiệm bao nhiêu để đạt 100 triệu sau 2 năm?,saving_goal
313,Mục tiêu tiết kiệm 8 triệu trong 4 tháng,saving_goal
314,Tôi muốn dành dụm 50 triệu trong 18 tháng,saving_goal
315,Cần tiết kiệm 25 triệu trong 5 tháng nữa,saving_goal
316,Có cách nào giúp tôi quản lý chi tiêu tốt hơn không?,financial_advice
317,Làm sao để tiết kiệm tiền mà vẫn thoải mái?,financial_advice
318,Tôi nên lập ngân sách cá nhân như thế nào?,financial_advice
319,Quỹ khẩn cấp nên có bao nhiêu tiền?,financial_advice
320,Làm thế nào để hạn chế tiêu tiền linh tinh?,financial_advice
321,Có phương pháp nào để theo dõi chi tiêu hiệu quả không?,financial_advice
322,Tôi nên phân bổ thu nhập hàng tháng ra sao?,financial_advice
323,Làm sao để kiểm soát việc mua sắm quá mức?,financial_advice
324,Có những cách nào để cải thiện thói quen tài chính?,financial_advice
325,Nên bắt đầu quản lý tài chính cá nhân từ đâu?,financial_advice
326,Trưa nay ăn bún bò 65k,add_expense
327,Sáng mua bánh mì với sữa hết 35 nghìn,add_expense
328,Vừa gọi cơm ship hết 90k,add_expense
329,Uống cà phê hết 50 nghìn rồi,add_expense
330,Mới mua áo khoác 700k,add_expense
331,Đi xem phim với bạn hết 220k,add_expense
332,Vừa thanh toán hóa đơn điện 380 nghìn,add_expense
333,Mua thuốc hết 125k ở nhà thuốc,add_expense
334,Tháng này trả tiền thuê nhà 5 củ,add_expense
335,Mua tài liệu học tập hết 180 nghìn,add_expense
336,Đi xe buýt hôm nay hết 10k,add_expense
337,Mới đổ xăng 80 nghìn,add_expense
338,Mua giày hết 1 triệu 1,add_expense
339,Vừa thanh toán tiền mạng 280k,add_expense
340,Tối qua ăn nhà hàng hết 450 nghìn,add_expense
341,Mua đồ gia dụng hết 600k,add_expense
342,Đi taxi hết 120 nghìn,add_expense
343,Vừa đóng học phí 2 triệu rưỡi,add_expense
344,Mua quà cho bạn hết 250k,add_expense
345,Ăn vặt chiều nay hết 45 nghìn,add_expense
346,Lương vừa về tài khoản 14 triệu,add_income
347,Công ty mới chuyển cho mình 18 củ tiền lương,add_income
348,Vừa nhận thưởng 2 triệu rưỡi,add_income
349,Mẹ gửi thêm 1 triệu,add_income
350,Freelance tháng này được 4 triệu,add_income
351,Khách vừa chuyển khoản 6 triệu,add_income
352,Vừa bán chiếc laptop cũ được 8 triệu,add_income
353,Nhận tiền làm thêm 1 triệu,add_income
354,Được hoàn tiền 300 nghìn,add_income
355,Tiền thưởng vừa về 5 củ,add_income
356,Anh trai chuyển cho mình 700k,add_income
357,Vừa thu được khoản nợ 2 triệu,add_income
358,Công ty trả thêm phụ cấp 1 triệu rưỡi,add_income
359,Bán vài món đồ cũ được 500 nghìn,add_income
360,Nhận tiền dự án 10 triệu rồi,add_income
361,Bố mẹ gửi tiền sinh hoạt 2 củ,add_income
362,Khách thanh toán 3 triệu cho đơn hàng,add_income
363,Lương tháng này được 16 triệu,add_income
364,Vừa nhận tiền công 900k,add_income
365,Có thêm 1 triệu tiền thưởng,add_income
366,Tài khoản của tôi hiện còn bao nhiêu?,query_balance
367,Kiểm tra xem mình còn bao nhiêu tiền,query_balance
368,Giờ số dư của mình là bao nhiêu?,query_balance
369,Trong tài khoản còn bao nhiêu vậy?,query_balance
370,Mình còn dư bao nhiêu sau các khoản chi?,query_balance
371,Hiện tại ví còn bao nhiêu tiền?,query_balance
372,Cho tôi biết số dư bây giờ,query_balance
373,Tôi còn lại bao nhiêu tiền?,query_balance
374,Tiền trong tài khoản giờ còn bao nhiêu?,query_balance
375,Cuối cùng mình còn bao nhiêu?,query_balance
376,Từ đầu tháng tới giờ đã chi bao nhiêu?,query_expense
377,Tháng này tổng tiền tiêu là bao nhiêu?,query_expense
378,Hôm nay tôi đã tiêu hết bao nhiêu?,query_expense
379,Tuần này mình chi tổng cộng bao nhiêu?,query_expense
380,Trong 7 ngày vừa rồi đã tiêu bao nhiêu?,query_expense
381,Tháng trước tổng chi của tôi là bao nhiêu?,query_expense
382,Năm nay mình đã tiêu hết bao nhiêu tiền?,query_expense
383,Hôm qua tổng cộng đã chi bao nhiêu?,query_expense
384,Cho tôi xem tổng chi tiêu tháng này,query_expense
385,Từ đầu năm đến giờ tổng tiền đã tiêu là bao nhiêu?,query_expense
386,Tiền ăn uống tháng này của tôi bao nhiêu?,query_category
387,Tôi tiêu bao nhiêu cho xăng xe trong tháng này?,query_category
388,Khoản mua sắm tháng này hết bao nhiêu?,query_category
389,Tiền điện nước tháng này là bao nhiêu?,query_category
390,Tôi đã trả bao nhiêu tiền nhà?,query_category
391,Chi cho giải trí tháng này bao nhiêu?,query_category
392,Tiền thuốc men đã tốn bao nhiêu?,query_category
393,Tháng này học hành hết bao nhiêu tiền?,query_category
394,Tôi đã chi bao nhiêu cho giao thông?,query_category
395,Khoản nào đang ngốn nhiều tiền nhất?,query_category
396,Cho tôi ngân sách ăn uống tối đa 2 triệu,set_budget
397,Mỗi tháng tiền mua sắm không quá 3 triệu nhé,set_budget
398,Đặt giới hạn đi lại là 800k một tháng,set_budget
399,Ngân sách giải trí tháng này 1 triệu,set_budget
400,Tiền điện tối đa 600 nghìn mỗi tháng,set_budget
401,Đừng để chi ăn uống vượt quá 2 củ,set_budget
402,Đặt hạn mức mua sắm tháng này 2 triệu rưỡi,set_budget
403,Tiền thuê nhà giới hạn 6 triệu nhé,set_budget
404,Tôi muốn giới hạn chi tiêu đi lại ở mức 1 triệu,set_budget
405,Cho giải trí tối đa 700k mỗi tháng,set_budget
406,Mình muốn dành 20 triệu trong 5 tháng,saving_goal
407,Tôi cần tiết kiệm 30 triệu sau 6 tháng,saving_goal
408,Mục tiêu là có 50 triệu trong 1 năm,saving_goal
409,Muốn để dành 15 triệu trong 3 tháng,saving_goal
410,Tôi muốn tích lũy 80 triệu trong 2 năm,saving_goal
411,Cần dành dụm 10 triệu trong vòng 4 tháng,saving_goal
412,Mỗi tháng phải để dành bao nhiêu để đủ 36 triệu sau 6 tháng?,saving_goal
413,Tôi muốn có 25 triệu tiền tiết kiệm sau 10 tháng,saving_goal
414,Mục tiêu tiết kiệm của tôi là 60 triệu trong 18 tháng,saving_goal
415,Làm sao để tiết kiệm đủ 12 triệu trong 1 năm?,saving_goal
416,Làm sao để quản lý chi tiêu hàng tháng cho hợp lý?,financial_advice
417,Có cách nào giúp tiết kiệm tiền nhanh hơn không?,financial_advice
418,Tôi nên bắt đầu lập ngân sách cá nhân thế nào?,financial_advice
419,Quỹ khẩn cấp dùng để làm gì?,financial_advice
420,Làm sao để không tiêu tiền quá tay?,financial_advice
421,Nên theo dõi các khoản chi tiêu như thế nào?,financial_advice
422,Có nguyên tắc nào để quản lý tiền hiệu quả không?,financial_advice
423,Tôi nên chia tiền lương cho các khoản như thế nào?,financial_advice
424,Làm sao để xây dựng thói quen tiết kiệm?,financial_advice
425,Có cách nào kiểm soát chi tiêu mua sắm không?,financial_advice
426,Nay ăn cơm hết 55k,add_expense
427,Sáng làm tô mì 30 nghìn,add_expense
428,Vừa đặt đồ ăn 85k,add_expense
429,Mới uống cafe 40k,add_expense
430,Mua cái quần 450k,add_expense
431,Tối qua đi chơi hết 300 nghìn,add_expense
432,Tiền điện vừa đóng 420k,add_expense
433,Mua thuốc hết 90 nghìn,add_expense
434,Phòng tháng này 5 triệu,add_expense
435,Mua sách online 160k,add_expense
436,Đi Grab hết 60 nghìn,add_expense
437,Đổ xăng 70k rồi,add_expense
438,Mua đôi dép 200 nghìn,add_expense
439,Vừa trả tiền mạng 300k,add_expense
440,Ăn lẩu với bạn hết 500 nghìn,add_expense
441,Mua đồ siêu thị hết 350k,add_expense
442,Đi taxi mất 100 nghìn,add_expense
443,Đóng học phí 4 triệu,add_expense
444,Mua quà hết 280k,add_expense
445,Ăn sáng mất 25 nghìn,add_expense
446,Lương vừa về 12 triệu,add_income
447,Công ty chuyển 15 củ rồi,add_income
448,Được thưởng 3 triệu,add_income
449,Mẹ gửi 2 củ,add_income
450,Vừa nhận tiền freelance 5 triệu,add_income
451,Khách chuyển 4 triệu cho mình,add_income
452,Bán đồ cũ được 600k,add_income
453,Tiền làm thêm vừa nhận 1 triệu,add_income
454,Vừa được hoàn 200 nghìn,add_income
455,Thưởng tháng này 2 triệu rưỡi,add_income
456,Anh mình gửi 500k,add_income
457,Người ta trả nợ mình 3 triệu,add_income
458,Công ty chuyển phụ cấp 1 triệu,add_income
459,Bán chiếc điện thoại được 4 củ,add_income
460,Vừa nhận tiền dự án 8 triệu,add_income
461,Bố mẹ gửi tiền 1 triệu rưỡi,add_income
462,Khách thanh toán 2 củ,add_income
463,Lương tháng này 17 triệu nhé,add_income
464,Vừa nhận công 700k,add_income
465,Thưởng thêm 500 nghìn,add_income
466,Số dư giờ còn bao nhiêu?,query_balance
467,Tài khoản mình còn bao nhiêu tiền?,query_balance
468,Kiểm tra số dư giúp mình,query_balance
469,Trong ví còn bao nhiêu?,query_balance
470,Hiện tại tôi còn bao nhiêu?,query_balance
471,Mình còn dư được bao nhiêu?,query_balance
472,Giờ tài khoản còn bao nhiêu vậy?,query_balance
473,Sau các khoản chi còn bao nhiêu tiền?,query_balance
474,Còn lại bao nhiêu trong tài khoản?,query_balance
475,Tôi đang có bao nhiêu tiền?,query_balance
476,Tháng này tiêu tổng bao nhiêu?,query_expense
477,Từ đầu tháng tới giờ chi bao nhiêu rồi?,query_expense
478,Hôm nay đã tiêu bao nhiêu?,query_expense
479,Tuần này tổng chi hết bao nhiêu?,query_expense
480,7 ngày qua mình tiêu bao nhiêu?,query_expense
481,Tháng trước chi tổng cộng bao nhiêu?,query_expense
482,Năm nay tiêu hết bao nhiêu rồi?,query_expense
483,Hôm qua đã chi bao nhiêu?,query_expense
484,Tổng tiền đã tiêu trong tháng là bao nhiêu?,query_expense
485,Cho tôi biết tổng chi tuần này,query_expense
486,Tiền ăn tháng này hết bao nhiêu?,query_category
487,Đi lại tháng này tốn bao nhiêu?,query_category
488,Mua sắm hết bao nhiêu tiền?,query_category
489,Tiền điện tháng này bao nhiêu?,query_category
490,Tiền nhà đã tốn bao nhiêu?,query_category
